Timestamp,Topic,Message
2024-07-05 16:34:41,Light,Detected
2024-07-05 16:34:42,Light,Detected
2024-07-05 16:34:43,Light,Detected
2024-07-05 16:34:44,Light,Not Detected
2024-07-05 16:34:45,Light,Not Detected
2024-07-05 16:34:46,Light,Not Detected
2024-07-05 16:34:47,Light,Not Detected
2024-07-05 16:34:48,Light,Not Detected
2024-07-05 16:34:49,Light,Not Detected
2024-07-05 16:34:50,Light,Not Detected
2024-07-05 16:34:51,Light,Not Detected
2024-07-05 16:34:52,Light,Not Detected
2024-07-05 16:34:53,Light,Not Detected
2024-07-05 16:34:54,Light,Not Detected
2024-07-05 16:34:55,Light,Not Detected
2024-07-05 16:34:56,Light,Detected
2024-07-05 16:34:57,Light,Detected
2024-07-05 16:34:58,Light,Detected
2024-07-05 16:34:59,Light,Detected
2024-07-05 16:35:00,Light,Detected
2024-07-05 16:35:01,Light,Detected
2024-07-05 16:35:02,Light,Not Detected
2024-07-05 16:35:03,Light,Not Detected
2024-07-05 16:35:04,Light,Not Detected
2024-07-05 16:35:05,Light,Not Detected
2024-07-05 16:35:06,Light,Not Detected
2024-07-05 16:35:07,Light,Not Detected
2024-07-05 16:35:08,Light,Not Detected
2024-07-05 16:35:09,Light,Not Detected
2024-07-05 16:35:10,Light,Not Detected
2024-07-05 16:35:11,Light,Not Detected
2024-07-05 16:35:13,Light,Not Detected
2024-07-05 16:35:14,Light,Detected
2024-07-05 16:35:15,Light,Detected
2024-07-05 16:35:16,Light,Detected
2024-07-05 16:35:17,Light,Detected
2024-07-05 16:35:18,Light,Not Detected
2024-07-05 16:35:19,Light,Not Detected
2024-07-05 16:35:20,Light,Not Detected
2024-07-05 16:35:21,Light,Not Detected
2024-07-05 16:35:22,Light,Not Detected
2024-07-05 16:35:23,Light,Not Detected
2024-07-05 16:35:24,Light,Not Detected
2024-07-05 16:35:25,Light,Not Detected
2024-07-05 16:35:26,Light,Not Detected
2024-07-05 16:35:27,Light,Detected
2024-07-05 16:35:28,Light,Detected
2024-07-05 16:35:29,Light,Detected
2024-07-05 16:35:30,Light,Detected
2024-07-05 16:35:32,Light,Not Detected
2024-07-05 16:35:33,Light,Not Detected
2024-07-05 16:35:34,Light,Not Detected
2024-07-05 16:35:35,Light,Not Detected
2024-07-05 16:35:36,Light,Not Detected
2024-07-05 16:35:37,Light,Not Detected
2024-07-05 16:35:38,Light,Not Detected
2024-07-05 16:35:39,Light,Not Detected
2024-07-05 16:35:40,Light,Detected
2024-07-05 16:35:41,Light,Detected
2024-07-05 16:35:42,Light,Detected
2024-07-05 16:35:43,Light,Detected
2024-07-05 16:35:44,Light,Detected
2024-07-05 16:35:46,Light,Not Detected
2024-07-05 16:35:47,Light,Not Detected
