Timestamp,Topic,Message
2024-07-05 16:34:44,Motion,Detected
2024-07-05 16:34:47,Motion,Not Detected
2024-07-05 16:34:53,Motion,Not Detected
2024-07-05 16:34:59,Motion,Not Detected
2024-07-05 16:35:02,Motion,Not Detected
2024-07-05 16:35:05,Motion,Not Detected
2024-07-05 16:35:08,Motion,Not Detected
2024-07-05 16:35:11,Motion,Not Detected
2024-07-05 16:35:14,Motion,Not Detected
2024-07-05 16:35:17,Motion,Not Detected
2024-07-05 16:35:20,Motion,Not Detected
2024-07-05 16:35:23,Motion,Not Detected
2024-07-05 16:35:26,Motion,Not Detected
2024-07-05 16:35:29,Motion,Not Detected
2024-07-05 16:35:35,Motion,Not Detected
2024-07-05 16:35:41,Motion,Not Detected
2024-07-05 16:35:47,Motion,Not Detected
2024-07-05 16:35:50,Motion,Detected
2024-07-05 16:35:53,Motion,Not Detected
2024-07-05 16:35:56,Motion,Not Detected
2024-07-05 16:35:59,Motion,Not Detected
2024-07-05 16:36:02,Motion,Not Detected
2024-07-05 16:36:05,Motion,Not Detected
2024-07-05 16:36:08,Motion,Not Detected
2024-07-05 16:36:11,Motion,Not Detected
2024-07-05 16:36:14,Motion,Not Detected
2024-07-05 16:36:17,Motion,Not Detected
2024-07-05 16:36:23,Motion,Not Detected
2024-07-05 16:36:26,Motion,Not Detected
2024-07-05 16:36:29,Motion,Not Detected
2024-07-05 16:36:32,Motion,Not Detected
2024-07-05 16:36:38,Motion,Not Detected
2024-07-05 16:36:44,Motion,Detected
2024-07-05 16:36:53,Motion,Not Detected
2024-07-05 16:36:56,Motion,Not Detected
2024-07-05 16:36:59,Motion,Detected
2024-07-05 16:37:05,Motion,Not Detected
2024-07-05 16:38:08,Motion,Not Detected
2024-07-05 16:38:17,Motion,Not Detected
2024-07-05 16:38:20,Motion,Not Detected
2024-07-05 16:38:23,Motion,Detected
2024-07-05 16:38:26,Motion,Not Detected
2024-07-05 16:38:29,Motion,Not Detected
2024-07-05 16:38:32,Motion,Not Detected
2024-07-05 16:38:35,Motion,Not Detected
2024-07-05 16:38:38,Motion,Not Detected
2024-07-05 16:38:44,Motion,Not Detected
2024-07-05 16:38:50,Motion,Not Detected
2024-07-05 16:38:53,Motion,Not Detected
2024-07-05 16:38:56,Motion,Not Detected
2024-07-05 16:38:59,Motion,Not Detected
2024-07-05 16:39:02,Motion,Not Detected
2024-07-05 16:39:05,Motion,Not Detected
2024-07-05 16:39:14,Motion,Not Detected
2024-07-05 16:39:17,Motion,Not Detected
2024-07-05 16:39:20,Motion,Not Detected
2024-07-05 16:39:26,Motion,Not Detected
2024-07-05 16:39:29,Motion,Not Detected
2024-07-05 16:39:35,Motion,Not Detected
2024-07-05 16:39:38,Motion,Detected
2024-07-05 16:39:47,Motion,Detected
2024-07-05 16:39:50,Motion,Not Detected
2024-07-05 16:39:56,Motion,Not Detected
2024-07-05 16:40:02,Motion,Not Detected
2024-07-05 16:40:05,Motion,Not Detected
2024-07-05 16:40:08,Motion,Not Detected
2024-07-05 16:40:11,Motion,Not Detected
2024-07-05 16:40:14,Motion,Not Detected
2024-07-05 16:40:17,Motion,Not Detected
2024-07-05 16:40:20,Motion,Not Detected
2024-07-05 16:40:23,Motion,Not Detected
2024-07-05 16:40:26,Motion,Not Detected
2024-07-05 16:40:32,Motion,Not Detected
2024-07-05 16:40:35,Motion,Not Detected
2024-07-05 16:40:38,Motion,Not Detected
2024-07-05 16:40:41,Motion,Not Detected
2024-07-05 16:40:44,Motion,Not Detected
2024-07-05 16:40:47,Motion,Not Detected
2024-07-05 16:40:53,Motion,Not Detected
2024-07-05 16:40:56,Motion,Not Detected
2024-07-05 16:40:59,Motion,Not Detected
2024-07-05 16:41:08,Motion,Not Detected
2024-07-05 16:41:11,Motion,Detected
2024-07-05 16:41:14,Motion,Not Detected
2024-07-05 16:41:17,Motion,Not Detected
2024-07-05 16:41:20,Motion,Not Detected
2024-07-05 16:41:23,Motion,Not Detected
2024-07-05 16:41:26,Motion,Not Detected
2024-07-05 16:41:29,Motion,Not Detected
2024-07-05 16:41:35,Motion,Not Detected
2024-07-05 16:41:38,Motion,Not Detected
2024-07-05 16:41:41,Motion,Not Detected
2024-07-05 16:41:44,Motion,Not Detected
2024-07-05 16:41:47,Motion,Not Detected
2024-07-05 16:41:50,Motion,Not Detected
2024-07-05 16:41:53,Motion,Not Detected
2024-07-05 16:41:56,Motion,Not Detected
2024-07-05 16:41:59,Motion,Not Detected
2024-07-05 16:42:08,Motion,Not Detected
2024-07-05 16:42:11,Motion,Not Detected
2024-07-05 16:42:14,Motion,Not Detected
2024-07-05 16:42:17,Motion,Not Detected
2024-07-05 16:42:20,Motion,Not Detected
2024-07-05 16:42:23,Motion,Not Detected
2024-07-05 16:42:26,Motion,Not Detected
2024-07-05 16:42:32,Motion,Not Detected
2024-07-05 16:42:38,Motion,Not Detected
2024-07-05 16:42:41,Motion,Not Detected
2024-07-05 16:42:44,Motion,Detected
2024-07-05 16:42:47,Motion,Not Detected
2024-07-05 16:42:50,Motion,Not Detected
2024-07-05 16:42:56,Motion,Not Detected
2024-07-05 16:43:02,Motion,Detected
2024-07-05 16:43:11,Motion,Not Detected
2024-07-05 16:43:14,Motion,Detected
2024-07-05 16:43:17,Motion,Not Detected
2024-07-05 16:43:20,Motion,Not Detected
2024-07-05 16:43:23,Motion,Not Detected
2024-07-05 16:43:32,Motion,Detected
2024-07-05 16:43:35,Motion,Not Detected
2024-07-05 16:43:38,Motion,Not Detected
2024-07-05 16:43:41,Motion,Not Detected
2024-07-05 16:43:44,Motion,Not Detected
2024-07-05 16:43:50,Motion,Not Detected
2024-07-05 16:43:53,Motion,Not Detected
2024-07-05 16:43:56,Motion,Not Detected
2024-07-05 16:43:59,Motion,Not Detected
2024-07-05 16:44:08,Motion,Detected
2024-07-05 16:44:11,Motion,Not Detected
2024-07-05 16:44:20,Motion,Not Detected
2024-07-05 16:44:23,Motion,Not Detected
2024-07-05 16:44:26,Motion,Not Detected
2024-07-05 16:44:29,Motion,Not Detected
2024-07-05 16:44:38,Motion,Detected
2024-07-05 16:44:44,Motion,Not Detected
2024-07-05 16:44:50,Motion,Detected
2024-07-05 16:44:59,Motion,Detected
2024-07-05 16:45:05,Motion,Not Detected
2024-07-05 16:45:11,Motion,Not Detected
2024-07-05 16:45:14,Motion,Detected
2024-07-05 16:45:23,Motion,Not Detected
2024-07-05 16:45:26,Motion,Not Detected
2024-07-05 16:45:29,Motion,Not Detected
2024-07-05 16:45:35,Motion,Not Detected
2024-07-05 16:45:41,Motion,Not Detected
2024-07-05 16:45:44,Motion,Not Detected
2024-07-05 16:45:47,Motion,Not Detected
2024-07-05 16:45:50,Motion,Not Detected
2024-07-05 16:45:53,Motion,Not Detected
2024-07-05 16:45:56,Motion,Not Detected
2024-07-05 16:46:05,Motion,Detected
2024-07-05 16:46:11,Motion,Not Detected
2024-07-05 16:46:14,Motion,Not Detected
2024-07-05 16:46:17,Motion,Not Detected
2024-07-05 16:46:20,Motion,Not Detected
2024-07-05 16:46:23,Motion,Not Detected
2024-07-05 16:46:29,Motion,Not Detected
2024-07-05 16:46:35,Motion,Not Detected
2024-07-05 16:46:38,Motion,Not Detected
2024-07-05 16:46:41,Motion,Detected
2024-07-05 16:46:44,Motion,Not Detected
2024-07-05 16:46:50,Motion,Not Detected
2024-07-05 16:46:56,Motion,Not Detected
2024-07-05 16:46:59,Motion,Not Detected
2024-07-05 16:47:02,Motion,Detected
2024-07-05 16:47:05,Motion,Not Detected
